card_name,card_value,trend_score,ai_score_adjustment,ai_attach_score_adjustment,ai_value_multiplier,sample_confidence,matches_analyzed,generated_unix,base_reached_match_count,no_valid_move_match_count,nexus_card_lost_match_count,unknown_win_condition_match_count,seen_count,attach_count,attach_rate,move_count,move_win_count,move_win_rate,capture_count,capture_rate,nexus_capture_count,base_entry_count,progress_sum,avg_progress_per_move,delta_attach_per_player_match,delta_moves_per_player_match,delta_progress_per_player_match,delta_captures_per_player_match,expire_count,return_deck_count,return_hand_count,effect_trigger_count,base_change_effect_count,cards_moved_by_effect,affected_count_by_effect,win_slot_count,lose_slot_count,win_attach_sum,lose_attach_sum,win_moves_sum,lose_moves_sum,win_progress_sum,lose_progress_sum,win_captures_sum,lose_captures_sum
Crown,1.8049,50.9025,1.8049,0.7220,1.0180,0.2084,94,1778614657,44,8,42,0,20,18,0.9000,60,53,0.8833,13,0.2167,0,11,94.0000,1.5667,0.1277,0.4894,0.8085,0.0957,0,4,0,0,0,0,0,94,94,15.0000,3.0000,53.0000,7.0000,85.0000,9.0000,11.0000,2.0000
Lieutenant,0.8235,50.4117,0.8235,0.3294,1.0082,0.1744,94,1778614657,44,8,42,0,23,21,0.9130,42,35,0.8333,11,0.2619,3,1,74.0000,1.7619,0.0957,0.2979,0.5532,0.0957,3,13,0,0,0,0,0,94,94,15.0000,6.0000,35.0000,7.0000,63.0000,11.0000,10.0000,1.0000
Ambusher,0.3748,50.1874,0.3748,0.1499,1.0037,0.1372,94,1778614657,44,8,42,0,23,19,0.8261,26,21,0.8077,8,0.3077,3,0,50.0000,1.9231,0.0957,0.1702,0.3404,0.0638,3,7,0,0,0,0,0,94,94,14.0000,5.0000,21.0000,5.0000,41.0000,9.0000,7.0000,1.0000
Buffoon,0.0000,50.0000,0.0000,0.0000,1.0000,0.0000,94,1778614657,44,8,42,0,25,0,0.0000,0,0,0.0000,0,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,18,0,0,0,0,0,94,94,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Caregiver,0.0000,50.0000,0.0000,0.0000,1.0000,0.0000,94,1778614657,44,8,42,0,21,0,0.0000,0,0,0.0000,0,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,16,0,0,0,0,0,94,94,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Explorer,0.0000,50.0000,0.0000,0.0000,1.0000,0.0000,94,1778614657,44,8,42,0,20,0,0.0000,0,0,0.0000,0,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,16,0,0,0,0,0,94,94,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Grandmaster,0.0000,50.0000,0.0000,0.0000,1.0000,0.0000,94,1778614657,44,8,42,0,41,0,0.0000,0,0,0.0000,0,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,34,0,0,0,0,0,94,94,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Pawn,0.0000,50.0000,0.0000,0.0000,1.0000,0.0000,94,1778614657,44,8,42,0,19,0,0.0000,0,0,0.0000,0,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,7,0,0,0,0,0,94,94,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Sage,0.0000,50.0000,0.0000,0.0000,1.0000,0.0000,94,1778614657,44,8,42,0,31,0,0.0000,0,0,0.0000,0,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,22,0,0,0,0,0,94,94,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Assassin,-0.0477,49.9762,-0.0477,-0.0191,0.9995,0.0602,94,1778614657,44,8,42,0,17,16,0.9412,5,2,0.4000,5,1.0000,0,0,4.0000,0.8000,-0.0638,-0.0106,-0.0213,-0.0106,1,2,0,16,0,0,0,94,94,5.0000,11.0000,2.0000,3.0000,1.0000,3.0000,2.0000,3.0000
Warlord,-0.0560,49.9720,-0.0560,-0.0224,0.9994,0.1845,94,1778614657,44,8,42,0,25,22,0.8800,47,30,0.6383,17,0.3617,4,1,75.0000,1.5957,0.0638,0.1383,0.2660,0.0532,5,11,0,0,0,0,0,94,94,14.0000,8.0000,30.0000,17.0000,50.0000,25.0000,11.0000,6.0000
Just,-0.2583,49.8708,-0.2583,-0.1033,0.9974,0.0761,94,1778614657,44,8,42,0,20,10,0.5000,8,6,0.7500,0,0.0000,0,0,24.0000,3.0000,0.0000,0.0426,0.1277,0.0000,0,5,0,0,0,0,0,94,94,5.0000,5.0000,6.0000,2.0000,18.0000,6.0000,0.0000,0.0000
Priest,-0.2791,49.8605,-0.2791,-0.1116,0.9972,0.0602,94,1778614657,44,8,42,0,16,11,0.6875,5,1,0.2000,1,0.2000,0,0,14.0000,2.8000,-0.0319,-0.0319,-0.1064,-0.0106,0,4,0,0,0,0,0,94,94,4.0000,7.0000,1.0000,4.0000,2.0000,12.0000,0.0000,1.0000
Champion,-0.5963,49.7018,-0.5963,-0.2385,0.9940,0.1291,94,1778614657,44,8,42,0,19,18,0.9474,23,9,0.3913,8,0.3478,3,1,47.0000,2.0435,-0.0213,-0.0532,-0.0745,-0.0213,6,4,0,0,0,0,0,94,94,8.0000,10.0000,9.0000,14.0000,20.0000,27.0000,3.0000,5.0000
Hero,-0.7703,49.6148,-0.7703,-0.3081,0.9923,0.1424,94,1778614657,44,8,42,0,22,20,0.9091,28,15,0.5357,8,0.2857,3,0,52.0000,1.8571,0.0000,0.0213,0.1277,0.0213,6,6,0,0,0,0,0,94,94,10.0000,10.0000,15.0000,13.0000,32.0000,20.0000,5.0000,3.0000
