rank_by_observed_effect_score,card_name,card_code,effect_type,effect_trigger,observed_effect_score_first_pass,confidence,notes,deck_presence_count,seen_unique_count,seen_win_rate,attach_count,attach_rate_from_deck_presence,white_attach_count,black_attach_count,played_unique_count,win_rate_when_played,expected_win_rate_from_side_mix,side_adjusted_win_uplift,move_count,moves_per_attach,captures_per_attach,king_captures_per_attach,base_reach_wins_per_attach,base_progress_per_attach,base_progress_per_move,avg_valid_moves_before,effect_triggers,effect_avg_affected,effect_avg_enemy_affected,effect_avg_own_affected,effect_avg_cards_moved,effect_avg_base_shift,effect_game_over_rate,score_win_component,score_base_progress_component,score_capture_component,score_king_capture_component,score_base_reach_component,score_space_control_component,score_piece_effect_component,score_card_economy_component,score_base_shift_component,movement_baseline_card,movement_baseline_attach_count,movement_baseline_available
1,Test_001 Bomb,test_001_bomb,bomb,on_attach,77.545455,low,movement_baseline_not_played;small_sample;direct_piece_removal,200,72,0.583333,11,0.055000,8,3,11,1.000000,0.527273,0.472727,1,0.090909,0.000000,0.000000,0.000000,0.090909,1.000000,0.000000,11,1.181818,1.181818,0.000000,0.000000,0.000000,0.909091,47.272727,0.727273,0.000000,0.000000,0.000000,0.000000,29.545455,0.000000,0.000000,Test_001,0,False
2,Test_001 Frozen 3,test_001_frozen_3,frozen_squares,on_attach,48.000000,medium,movement_baseline_not_played;space_control_estimate,200,67,0.641791,26,0.130000,17,9,26,0.730769,0.518462,0.212308,29,1.115385,0.153846,0.115385,0.000000,0.461538,0.413793,0.000000,26,2.692308,0.000000,0.000000,0.000000,0.000000,0.000000,21.230769,3.692308,5.384615,6.923077,0.000000,10.769231,0.000000,0.000000,0.000000,Test_001,0,False
3,Test_001 Shared Control,test_001_shared_control,shared_control,while_attached,44.820000,higher,movement_baseline_not_played;value_from_outcomes_only,200,75,0.453333,50,0.250000,30,20,50,0.420000,0.512000,-0.092000,91,1.820000,0.460000,0.420000,0.060000,1.140000,0.626374,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-9.200000,9.120000,16.100000,25.200000,3.600000,0.000000,0.000000,0.000000,0.000000,Test_001,0,False
4,Test_001 Steal Card,test_001_steal_card,steal_card,on_attach,30.558140,medium,movement_baseline_not_played,200,61,0.508197,43,0.215000,25,18,43,0.511628,0.509767,0.001860,48,1.116279,0.046512,0.046512,0.000000,0.744186,0.666667,0.000000,43,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.186047,5.953488,1.627907,2.790698,0.000000,0.000000,0.000000,20.000000,0.000000,Test_001,0,False
5,Test_001 Invisible,test_001_invisible,invisible_to_enemy,while_attached,29.666667,medium,movement_baseline_not_played;value_from_outcomes_only,200,57,0.491228,33,0.165000,20,13,33,0.575758,0.512727,0.063030,42,1.272727,0.151515,0.121212,0.030303,1.121212,0.880952,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.303030,8.969697,5.303030,7.272727,1.818182,0.000000,0.000000,0.000000,0.000000,Test_001,0,False
6,Test_001 Move Base 1,test_001_move_base_1,move_base,on_attach,29.444444,medium,movement_baseline_not_played,200,83,0.518072,36,0.180000,24,12,36,0.555556,0.520000,0.035556,39,1.083333,0.111111,0.083333,0.000000,0.861111,0.794872,0.000000,36,0.000000,0.000000,0.000000,0.000000,2.527778,0.000000,3.555556,6.888889,3.888889,5.000000,0.000000,0.000000,0.000000,0.000000,10.111111,Test_001,0,False
7,Test_001 Frozen 1,test_001_frozen_1,frozen_squares,on_attach,29.285714,low,movement_baseline_not_played;small_sample;space_control_estimate,200,69,0.608696,21,0.105000,10,11,21,0.666667,0.497143,0.169524,25,1.190476,0.047619,0.047619,0.000000,0.476190,0.400000,0.000000,21,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16.952381,3.809524,1.666667,2.857143,0.000000,4.000000,0.000000,0.000000,0.000000,Test_001,0,False
8,Test_001 Frozen 2,test_001_frozen_2,frozen_squares,on_attach,24.678571,medium,movement_baseline_not_played;space_control_estimate,200,68,0.500000,28,0.140000,17,11,28,0.607143,0.512857,0.094286,29,1.035714,0.035714,0.035714,0.000000,0.535714,0.517241,0.000000,28,1.892857,0.000000,0.000000,0.000000,0.000000,0.000000,9.428571,4.285714,1.250000,2.142857,0.000000,7.571429,0.000000,0.000000,0.000000,Test_001,0,False
9,Test_001 Grant Card,test_001_grant_card,grant_card,on_attach,19.921569,higher,movement_baseline_not_played,200,74,0.405405,51,0.255000,27,24,51,0.490196,0.503529,-0.013333,60,1.176471,0.039216,0.039216,0.000000,0.941176,0.800000,0.000000,51,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,-1.333333,7.529412,1.372549,2.352941,0.000000,0.000000,0.000000,10.000000,0.000000,Test_001,0,False
10,Test_001 Invalid 3,test_001_invalid_3,invalid_squares,on_attach,3.222222,very_low,movement_baseline_not_played;small_sample;space_control_estimate,200,58,0.413793,9,0.045000,5,4,9,0.444444,0.506667,-0.062222,6,0.666667,0.000000,0.000000,0.000000,0.222222,0.333333,0.000000,9,2.555556,0.000000,0.000000,0.000000,0.000000,0.000000,-6.222222,1.777778,0.000000,0.000000,0.000000,7.666667,0.000000,0.000000,0.000000,Test_001,0,False
